Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Karliz,@kimlagual,,189,750,18,24 mil,https://twitter.com/kimlagual/status/1787250795705933849,https://twitter.com/kimlagual,"Martinelli es una mierda, pero la gente cree en el… y están creyendo que Mulino es Martinelli, apuesto un dedo que Mulino gana y traicionará a Martinelli",5 may.,2024-05-05T22:39:29.000Z
𝓝𝓮𝔂,@itsNdpa24,,97,412,8,12 mil,https://twitter.com/itsNdpa24/status/1786243951852167191,https://twitter.com/itsNdpa24,"No me cabe en la cabeza, como hay estudiantes de derecho apoyando campañas del PRD y a Mulino.",2 may.,2024-05-03T03:58:39.000Z
Israel en Español,@IsraelinSpanish,,27,101,21,8 mil,https://twitter.com/IsraelinSpanish/status/1787716584980513270,https://twitter.com/IsraelinSpanish,"En nombre del Estado de Israel quiero felicitar al Presidente @JoseRaulMulino por su victoria en las elecciones. Espero trabajar junto al Presidente Mulino y su gobierno para seguir fortaleciendo la amistad y cooperación entre nuestros países. 

Felicidades a Panamá por un…",7 may.,2024-05-07T05:30:22.000Z
Noris Quiel,@norisq27,,139,662,53,18 mil,https://twitter.com/norisq27/status/1787236482425541109,https://twitter.com/norisq27,Que tienen en la cabeza esas personas que están votando por Mulino,5 may.,2024-05-05T21:42:37.000Z
juan carlos orillac,@JuanCOrillac,,60,144,21,4 mil,https://twitter.com/JuanCOrillac/status/1785721018801078490,https://twitter.com/JuanCOrillac,A los seguidores y a quienes creen en José Raúl Mulino les aseguro que va correr y tengan la tranquilidad que el 5 de mayo será escogido por el pueblo panameño. Recuerda votar en la casilla 7,1 may.,2024-05-01T17:20:42.000Z
Nini Moreno,@EsNiniMoreno,,22,92,2,4 mil,https://twitter.com/EsNiniMoreno/status/1787341801881317459,https://twitter.com/EsNiniMoreno,"Plot twist. 

Mulino se le voltea a RM. 

Martín funda el partido “Nuevo Torrijismo”

Lombana desaparece y Martita Cornejo es la nueva cara de Moca. 

Maribel llega a ser Ministra De Educación.",5 may.,2024-05-06T04:41:07.000Z
Jhair,@jhairpino,,307,943,,23 mil,https://twitter.com/jhairpino/status/1786468699676770372,https://twitter.com/jhairpino,"La gente solo le va a Mulino porque con Martinelli “tenían plata”

Man, inflaron la economía creando una moneda que internacionalmente no vale NADA.",3 may.,2024-05-03T18:51:43.000Z
Omar.,@gatoomarr,,107,308,,8 mil,https://twitter.com/gatoomarr/status/1786755995240177753,https://twitter.com/gatoomarr,"Usted que salió y protestó con pancartas que tenían la cara de Nito y Gaby, recuerde que si elige a Mulino y luego tenemos otra protesta (que no lo dudo), no podrá hacer lo mismo entonces porque le caerán un par de balas",4 may.,2024-05-04T13:53:20.000Z
Georgios Moschos,@g_moschos,,25,82,11,4 mil,https://twitter.com/g_moschos/status/1787459334332411981,https://twitter.com/g_moschos,"Mucha gente “pensante” e “inteligente” votó por Mulino. Ese discurso sectario debe desaparecer. Si no entienden que divididos y con sectarismo no se gana, no han aprendido nada.",6 may.,2024-05-06T12:28:09.000Z
Adelmino Rivera,@arivera2457,"https://pbs.twimg.com/ext_tw_video_thumb/1786823111662329856/pu/img/l3h7xAWzNtvOD_SR.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786823111662329856/pu/img/l3h7xAWzNtvOD_SR.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786823111662329856/pu/img/l3h7xAWzNtvOD_SR.jpg",55,88,36,5 mil,https://twitter.com/arivera2457/status/1786827762671476919,https://twitter.com/arivera2457,Voten x Mulino y esto regresara,4 may.,2024-05-04T18:38:30.000Z
