Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Radio Panamá,@radiopanama,https://pbs.twimg.com/media/GNN6GScWoAAxfw8?format=jpg&name=small,,3,,327,https://twitter.com/radiopanama/status/1788907742884733077,https://twitter.com/radiopanama,"#Nacionales La Fiscalía de Drogas de Colón y Guna Yala con @SENANPanama aprehendieron a 2 personas, decomisaron 9 paquetes con presunta droga y 48 bolsas ziploc con hierba seca,  en una embarcación, al este de Los Cayos Holandeses, en Guna Yala. @PGN_PANAMA
#RadioPanama",10 may.,2024-05-10T12:23:36.000Z
David Montenegro,@d_montenegro11,https://pbs.twimg.com/media/GNLDP43WEAAO9if?format=jpg&name=small,14,18,,2 mil,https://twitter.com/d_montenegro11/status/1788706726465683766,https://twitter.com/d_montenegro11,"Presentamos una denuncia ante la @fgelectoral en compañía de nuestro amigo Pedro “Toto” Camargo, candidato a alcalde por el distrito de Donoso, provincia de Colón, y parte de su equipo, por las numerosas irregularidades que constituyen delito electoral el día de las elecciones…",9 may.,2024-05-09T23:04:50.000Z
Senan Panamá,@SENANPanama,https://pbs.twimg.com/media/GNKlh5rWEAAz_ua?format=jpg&name=small,29,14,,631,https://twitter.com/SENANPanama/status/1788674021640274292,https://twitter.com/SENANPanama,"#Colón | #Aeronavales de la 3ra. Zona, realizan supervisión de las medidas de seguridad a las embarcaciones, en Río Indio, de igual forma se recalcó el uso de la línea #108, para reportar emergencias y denuncias.

#SeguridadMarítima",9 may.,2024-05-09T20:54:53.000Z
Telemetro Reporta,@TReporta,"https://pbs.twimg.com/ext_tw_video_thumb/1788269420567011329/pu/img/Yvl_XSaTnhWRontX.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788269420567011329/pu/img/Yvl_XSaTnhWRontX.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1788269420567011329/pu/img/Yvl_XSaTnhWRontX.jpg",2,6,,2 mil,https://twitter.com/TReporta/status/1788270003378069684,https://twitter.com/TReporta,"A esta hora reportan el asesinato de una persona a bordo de una camioneta en el sector de Arco Iris, en Colón. #TReporta",8 may.,2024-05-08T18:09:27.000Z
El Siglo de Panamá,@elsiglodigital,"https://pbs.twimg.com/media/GM_cm-OWcAAzmmh?format=jpg&name=small, https://pbs.twimg.com/media/GM_cm-OWcAAzmmh?format=jpg&name=small",,1,,385,https://twitter.com/elsiglodigital/status/1787890144160162048,https://twitter.com/elsiglodigital,"Privan de libertad a tres en Colón, rescatan a dos y uno no aparece https://buff.ly/4dxxLCI

#ESLaRoja",7 may.,2024-05-07T17:00:02.000Z
Destino Panamá,@Destinopanam,"https://pbs.twimg.com/media/GM_tU4xWsAA6ZwO?format=jpg&name=small, https://pbs.twimg.com/media/GM_tU4xWsAA6ZwO?format=jpg&name=small",,,,32,https://twitter.com/Destinopanam/status/1787908573156290830,https://twitter.com/Destinopanam,"Un programa para minimizar muertes y complicaciones por enfermedades cardiovasculares, implementará la Caja de Seguro Social (CSS) en sus diferentes servicios de urgencia de Panamá, Panamá Oeste y Colón.

 https://destinopanama.com.pa/2024/05/alerta-infarto-nuevo-programa-de-la-css-para-salvar-vidas/…",7 may.,2024-05-07T18:13:16.000Z
TVN Noticias,@tvnnoticias,https://pbs.twimg.com/ext_tw_video_thumb/1787166429902462976/pu/img/rHnGxPzrSRQA_ZP-.jpg,1,15,1,2 mil,https://twitter.com/tvnnoticias/status/1787166858677739735,https://twitter.com/tvnnoticias,"#TuDecisión2024 #Elecciones2024| Ricardo Lombana  y Michael Chen desde la provincia de Colón. 

Más detalles sobre esta nota en http://tvn-2.com

#NoticiasPanamá #NoticiasTVN #Panamá #TVNNacionales",5 may.,2024-05-05T17:05:57.000Z
IDAAN,@IDAANinforma,https://pbs.twimg.com/media/GNPOrbkXMAE5O1v?format=jpg&name=small,,2,,2 mil,https://twitter.com/IDAANinforma/status/1789000724598128859,https://twitter.com/IDAANinforma,"#Colón: Debido a trabajos de reparación en una red sanitaria en el Casco de la ciudad de Colón, el suministro se verá afectado de 8:00 de la mañana a 4:00 de la tarde. @311Panama",10 may.,2024-05-10T18:33:05.000Z
miralles.eth,@luiscorleone12,https://pbs.twimg.com/ext_tw_video_thumb/1789691897113378816/pu/img/J-TMADYw51YvujAE.jpg,,1,,126,https://twitter.com/luiscorleone12/status/1789820706424819987,https://twitter.com/luiscorleone12,Por fin Colón tiene esperanzas,8h,2024-05-13T00:51:24.000Z
Rigo,@rigomercurial,https://pbs.twimg.com/ext_tw_video_thumb/1789691897113378816/pu/img/J-TMADYw51YvujAE.jpg,,1,,117,https://twitter.com/rigomercurial/status/1789767148430102591,https://twitter.com/rigomercurial,Parece que por fin Colón tiene salvación,11h,2024-05-12T21:18:35.000Z
Miss MaoK,@missmaok,https://pbs.twimg.com/ext_tw_video_thumb/1789676661748699136/pu/img/VRNulDU4T1I2GRM0.jpg,3,14,3,565,https://twitter.com/missmaok/status/1789808902306943167,https://twitter.com/missmaok,"En Colón hay uno similar pero más pequeño.
En el Mount Hope, el Mount Hope es un cementerio bonito pero triste, también tiene leyendas Urbanas que si vas tarde o solo en esa ruta te salen ánimas o se te pegan perooo",9h,2024-05-13T00:04:30.000Z
LNF,@LNFPanama,"https://pbs.twimg.com/media/GNEgUcOXAAY-UEz?format=jpg&name=360x360, https://pbs.twimg.com/media/GNEgUcOXAAY-UEz?format=jpg&name=360x360",4,5,,826,https://twitter.com/LNFPanama/status/1788246065868636212,https://twitter.com/LNFPanama,"Así se jugará la Jornada 6 de la Liga Nacional de Futsal 

 Complejo Deportivo Roberto Kelly
 Polideportivo Corporación de Colón
 Gimnasio Neco De la Guardia, Chorrillo
 Gimnasio Los Naranjos de Boquete

@fepafut

#TodosSomosLNF",8 may.,2024-05-08T16:34:20.000Z
Destino Panamá,@Destinopanam,"https://pbs.twimg.com/media/GNKUMPcW8AAWpfY?format=jpg&name=small, https://pbs.twimg.com/media/GNKUMPcW8AAWpfY?format=jpg&name=small",,,,50,https://twitter.com/Destinopanam/status/1788655241434386694,https://twitter.com/Destinopanam,"ETESA informa que a partir del 10 de mayo, hasta el domingo 12 de mayo, se estarán realizando una serie de trabajos, para el seccionamiento e interconexión de la nueva Subestación Sabanitas Panamá III y Subestaciones Asociadas en la provincia de Colón.

 https://destinopanama.com.pa/2024/05/etesa-anuncia-trabajos-en-subestaciones-a-partir-de-este-viernes/…",9 may.,2024-05-09T19:40:15.000Z
Radio Panamá,@radiopanama,https://pbs.twimg.com/ext_tw_video_thumb/1787157936189423617/pu/img/7tRfkvFDMn5Mm9q5.jpg,7,11,15,6 mil,https://twitter.com/radiopanama/status/1787158596184047686,https://twitter.com/radiopanama,"#TúEliges2024 El dirigente del Suntracs Saúl Méndez viaja a la provincia de Colón a ejercer su derecho al voto e hizo un llamado a los colonenses a que no se equivoquen al momento de ejercer el sufragio""

#RadioPanama",5 may.,2024-05-05T16:33:07.000Z
Telemetro Reporta,@TReporta,https://pbs.twimg.com/media/GM3cRQwWUAElvwP.jpg,1,13,2,7 mil,https://twitter.com/TReporta/status/1787322291828781306,https://twitter.com/TReporta,"Le damos a conocer los resultados extraoficiales para el cargo de alcalde en San Miguelito, Panamá, Colón y Chitré.
#Voto24 #TReporta",5 may.,2024-05-06T03:23:35.000Z
