Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Lettaick,@lettaick,,,4,,41,https://twitter.com/lettaick/status/1788483355933131188,https://twitter.com/lettaick,"Esto si son motivos de celos, no las mamadas de que  hable con otra persona ya sea hombre o mujer, o el simple echo de respirar o que lo miren etc",9 may.,2024-05-09T08:17:15.000Z
rodrigo andres,@rodri5556,,,1,1,140,https://twitter.com/rodri5556/status/1787615205033140313,https://twitter.com/rodri5556,me encanta hablar de negocios con mi mujer,6 may.,2024-05-06T22:47:31.000Z
Kakaroto PTY,@Kakarotopty_,,,,,6,https://twitter.com/Kakarotopty_/status/1787679416945987702,https://twitter.com/Kakarotopty_,"Qué noticia tan triste, es lamentable ver hasta dónde puede llegar la desesperación de algunas personas. #JusticiaParaLaVictoria",6 may.,2024-05-07T03:02:41.000Z
k i k i △⃒⃘,@kellayn3,"https://pbs.twimg.com/media/GNO4y3qXwAIE-KS?format=jpg&name=small, https://pbs.twimg.com/media/GNO4y3qXwAIE-KS?format=jpg&name=small",,,,314,https://twitter.com/kellayn3/status/1789116463933948295,https://twitter.com/kellayn3,"ya no me importa si es hombre o mujer pero me URGE ese tauro para ayer, soy piscis",10 may.,2024-05-11T02:12:59.000Z
T.s,@tsolis27,,,,,201,https://twitter.com/tsolis27/status/1787299786086916192,https://twitter.com/tsolis27,Cuando te quitan el otro ojo? Bestia hecha mujer,5 may.,2024-05-06T01:54:10.000Z
Babayaga,@lamafiabella44,https://pbs.twimg.com/media/GNWo_EKWkAAwg03?format=jpg&name=240x240,1,,1,122,https://twitter.com/lamafiabella44/status/1789522252469289378,https://twitter.com/lamafiabella44,No entiende porque una mujer se tapa el pelo. Pero vienes del cristianismo donde la virgen María lo lleva y donde muchas de nuestras mujeres también. Dejen el discurso doble moral que se están volviendo igual que los judíos en repudio a lo nuestro.,12 may.,2024-05-12T05:05:27.000Z
Maria Bedoya,@mariayalaab,https://pbs.twimg.com/media/GNbhMygXoAAvHIS?format=jpg&name=small,,,2,10,https://twitter.com/mariayalaab/status/1789865517257265535,https://twitter.com/mariayalaab,Que triste una mujer dejándose llevar del fanatismo no le da vergüenza no tener criterio propio? Si pago ViX gracias por estar con el pendiente,4h,2024-05-13T03:49:28.000Z
Vinccenso Alessandro,@viny507herrera,https://pbs.twimg.com/media/GM1P4Q_W8AABf7D?format=jpg&name=small,,1,1,286,https://twitter.com/viny507herrera/status/1787172456802709802,https://twitter.com/viny507herrera,"Ok, español. Me avisas cuando puedas hablarle a una mujer sin ser acusado de vi0l4ción",5 may.,2024-05-05T17:28:12.000Z
Jocelyn (taylor’s version),@jozzy_17,"https://pbs.twimg.com/media/GM3SnhNWYAABNbj?format=jpg&name=small, https://pbs.twimg.com/media/GM3SnhNWYAABNbj?format=jpg&name=small",17,49,,2 mil,https://twitter.com/jozzy_17/status/1787339829279133938,https://twitter.com/jozzy_17,"MartaCox u had one job

Mujer
Deportista
Panameña 
Joven 

Y apoyando al PRD de verdad que a veces solo hay que decir Chupzo y seguir…",5 may.,2024-05-06T04:33:17.000Z
Boulevard of broken dreams,@crxwx666,,,,,12,https://twitter.com/crxwx666/status/1788071979729265141,https://twitter.com/crxwx666,Soltaste mis cadenas tu mala mujer,8 may.,2024-05-08T05:02:35.000Z
