Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Yusse Meléndez,@YusseMelendez,,,,,23,https://twitter.com/YusseMelendez/status/1786386899319329128,https://twitter.com/YusseMelendez,Buenos días a todos menos al estúpido que me piso mis zapatillas,3 may.,2024-05-03T13:26:40.000Z
Michelle Varela,@varelaconte,,,,,18,https://twitter.com/varelaconte/status/1788027118175076798,https://twitter.com/varelaconte,Estúpido,22h,2024-05-08T02:04:19.000Z
Armando,@Boogiepop_1112,,4,21,2,727,https://twitter.com/Boogiepop_1112/status/1787218307210174506,https://twitter.com/Boogiepop_1112,Con esa vaina del Chorrillo quede frío la verdad es que hay una parte de Panamá que enserio ama que les digan estúpido no hay más que decir,5 may.,2024-05-05T20:30:24.000Z
Rodrigo O.,@Rodrigo202090,,,,,20,https://twitter.com/Rodrigo202090/status/1785443826078818310,https://twitter.com/Rodrigo202090,CALL CENTER ESTÚPIDO,30 abr.,2024-04-30T22:59:14.000Z
yira flores,@twittmaister,,,,,3,https://twitter.com/twittmaister/status/1788037752279187508,https://twitter.com/twittmaister,Estupido. Qué tipo tan desagradable,21h,2024-05-08T02:46:34.000Z
༒•Marcos García C.•༒,@Marcogar7,,10,13,3,535,https://twitter.com/Marcogar7/status/1786555948472971727,https://twitter.com/Marcogar7,"Es ser ANORMAL pensar que si no voto por tu candidato soy (imbécil, estúpido, bruto, idiota, tarado, me dejaron caer al nacer, producto de falta de ácido fólico, energúmeno, antisocial, malandrín, loco, delincuente, arrastrado, lambón, fanático, idolatra, vendido, pendejo).",3 may.,2024-05-04T00:38:25.000Z
𝗘𝘅𝗰𝗲𝗹𝘆𝗻 𝗧𝗵𝗮𝗹𝗶𝗮,@ExcelynThalia,,,,,6,https://twitter.com/ExcelynThalia/status/1788248930922180795,https://twitter.com/ExcelynThalia,Jaajjaja nooo  estupido,7h,2024-05-08T16:45:43.000Z
NT,@NicuuTh,,1,8,1,313,https://twitter.com/NicuuTh/status/1787274350560698695,https://twitter.com/NicuuTh,"Eres estupido o te haces? Búscalas en la página del tribunal lol 

https://resultados.te.gob.pa/resultados/100/presidente/1/provincia/30…",5 may.,2024-05-06T00:13:05.000Z
Gigi,@lopezg2391,,,,,41,https://twitter.com/lopezg2391/status/1787298000840126719,https://twitter.com/lopezg2391,Su show estupido no sirvió,5 may.,2024-05-06T01:47:04.000Z
Kath Alvarado,@KathALV,,1,3,,160,https://twitter.com/KathALV/status/1787014916970360986,https://twitter.com/KathALV,"Esa awebason de que si no votas por el candidato que yo quiero eres un estúpido ignorante ya cabrea. 
La gente tiene derecho a votar como le da la gana, si quiere bota su voto

Si tu candidato no lo convenció, pues acéptalo. Tal vez esa persona ve algo que tu fanatismo no te deja",5 may.,2024-05-05T07:02:11.000Z
Wendy Avila,@wendystela,,,4,,40,https://twitter.com/wendystela/status/1788110358571298991,https://twitter.com/wendystela,Llamar a la unidad??? Con maleantes??? Hay que ser muy Estúpido??,16h,2024-05-08T07:35:05.000Z
miralles.eth,@luiscorleone12,,,,,173,https://twitter.com/luiscorleone12/status/1786150453610496335,https://twitter.com/luiscorleone12,"Clasista solo puede ser el que tiene plata 

El que no que se calle, porque se ve doblemente estúpido",2 may.,2024-05-02T21:47:07.000Z
Diana Centella,@Dianacentella,,,1,,89,https://twitter.com/Dianacentella/status/1787239448721096948,https://twitter.com/Dianacentella,El panameño es bruto y estúpido. Dios mío como le dieron su voto a Mulino que es esto,5 may.,2024-05-05T21:54:24.000Z
🅶🅴🅽,@Gengys03,,1,2,,241,https://twitter.com/Gengys03/status/1787130895620522001,https://twitter.com/Gengys03,Facil implementar los latigazos. Andas de estupido tomando fotos durante el voto? 50 latigazos.,5 may.,2024-05-05T14:43:03.000Z
Chris,@ChristGmez,,,2,,43,https://twitter.com/ChristGmez/status/1787302113032179938,https://twitter.com/ChristGmez,Vergüenza me da ser panameño  No me representa el 34% que votó por ese estúpido,5 may.,2024-05-06T02:03:24.000Z
FueraCorruptos,@Mevalevergas420,,,,,11,https://twitter.com/Mevalevergas420/status/1785557568036725045,https://twitter.com/Mevalevergas420,Dios que estupido,1 may.,2024-05-01T06:31:12.000Z
No Mas Corruptos,@DrakeThon8,https://pbs.twimg.com/ext_tw_video_thumb/1787660859700908032/pu/img/cFC0V0ctJshVkaqz.jpg,,1,,98,https://twitter.com/DrakeThon8/status/1787830355552055642,https://twitter.com/DrakeThon8,PANAMA VIVIRÁN UN DESCLIVE DE SU PRESIDENTE QUE QUIERE ABRIR LA MINA. PARÁ SEGUIR ROBANDO. Y EL PUEBLO ESTÚPIDO. OJO.,7 may.,2024-05-07T13:02:27.000Z
songorocosongo,@sofivii8,,,1,,37,https://twitter.com/sofivii8/status/1785431643051720777,https://twitter.com/sofivii8,chucha madre como me kb ese fokin estupido,30 abr.,2024-04-30T22:10:50.000Z
